task_id,phase,kind,trace,size,mode,weights_obs,algo
phaseB_bl_Alibaba-4_0p1_BeladySize,phaseB,baseline,Alibaba-4,0.1,-,0,BeladySize
phaseB_bl_Alibaba-4_0p1_Belady,phaseB,baseline,Alibaba-4,0.1,-,0,Belady
phaseB_bl_Alibaba-4_0p1_GDSF,phaseB,baseline,Alibaba-4,0.1,-,0,GDSF
phaseB_bl_Alibaba-4_0p1_3LCache-OMR,phaseB,baseline,Alibaba-4,0.1,-,0,3LCache-OMR
phaseB_bl_Alibaba-4_0p1_3LCache-BMR,phaseB,baseline,Alibaba-4,0.1,-,0,3LCache-BMR
phaseB_bl_Alibaba-4_0p1_S3FIFO,phaseB,baseline,Alibaba-4,0.1,-,0,S3FIFO
phaseB_bl_Alibaba-4_0p1_LRU,phaseB,baseline,Alibaba-4,0.1,-,0,LRU
phaseB_bl_Alibaba-4_0p1_LFU,phaseB,baseline,Alibaba-4,0.1,-,0,LFU
phaseB_rl_Alibaba-4_0p001_log1p_w0,phaseB,rl,Alibaba-4,0.001,log1p,0,LOH
phaseB_rl_Alibaba-4_0p001_reciprocal_w0,phaseB,rl,Alibaba-4,0.001,reciprocal,0,LOH
phaseB_bl_Alibaba-4_0p001_BeladySize,phaseB,baseline,Alibaba-4,0.001,-,0,BeladySize
phaseB_bl_Alibaba-4_0p001_Belady,phaseB,baseline,Alibaba-4,0.001,-,0,Belady
phaseB_bl_Alibaba-4_0p001_GDSF,phaseB,baseline,Alibaba-4,0.001,-,0,GDSF
phaseB_bl_Alibaba-4_0p001_3LCache-OMR,phaseB,baseline,Alibaba-4,0.001,-,0,3LCache-OMR
phaseB_bl_Alibaba-4_0p001_3LCache-BMR,phaseB,baseline,Alibaba-4,0.001,-,0,3LCache-BMR
phaseB_bl_Alibaba-4_0p001_S3FIFO,phaseB,baseline,Alibaba-4,0.001,-,0,S3FIFO
phaseB_bl_Alibaba-4_0p001_LRU,phaseB,baseline,Alibaba-4,0.001,-,0,LRU
phaseB_bl_Alibaba-4_0p001_LFU,phaseB,baseline,Alibaba-4,0.001,-,0,LFU
phaseB_rl_MetaKV-202401_0p1_log1p_w0,phaseB,rl,MetaKV-202401,0.1,log1p,0,LOH
phaseB_rl_MetaKV-202401_0p1_reciprocal_w0,phaseB,rl,MetaKV-202401,0.1,reciprocal,0,LOH
phaseB_bl_MetaKV-202401_0p1_BeladySize,phaseB,baseline,MetaKV-202401,0.1,-,0,BeladySize
phaseB_bl_MetaKV-202401_0p1_Belady,phaseB,baseline,MetaKV-202401,0.1,-,0,Belady
phaseB_bl_MetaKV-202401_0p1_GDSF,phaseB,baseline,MetaKV-202401,0.1,-,0,GDSF
phaseB_bl_MetaKV-202401_0p1_3LCache-OMR,phaseB,baseline,MetaKV-202401,0.1,-,0,3LCache-OMR
phaseB_bl_MetaKV-202401_0p1_3LCache-BMR,phaseB,baseline,MetaKV-202401,0.1,-,0,3LCache-BMR
phaseB_bl_MetaKV-202401_0p1_S3FIFO,phaseB,baseline,MetaKV-202401,0.1,-,0,S3FIFO
phaseB_bl_MetaKV-202401_0p1_LRU,phaseB,baseline,MetaKV-202401,0.1,-,0,LRU
phaseB_bl_MetaKV-202401_0p1_LFU,phaseB,baseline,MetaKV-202401,0.1,-,0,LFU
phaseB_rl_MetaKV-202401_0p001_log1p_w0,phaseB,rl,MetaKV-202401,0.001,log1p,0,LOH
phaseB_rl_MetaKV-202401_0p001_reciprocal_w0,phaseB,rl,MetaKV-202401,0.001,reciprocal,0,LOH
phaseB_bl_MetaKV-202401_0p001_BeladySize,phaseB,baseline,MetaKV-202401,0.001,-,0,BeladySize
phaseB_bl_MetaKV-202401_0p001_Belady,phaseB,baseline,MetaKV-202401,0.001,-,0,Belady
phaseB_bl_MetaKV-202401_0p001_GDSF,phaseB,baseline,MetaKV-202401,0.001,-,0,GDSF
phaseB_bl_MetaKV-202401_0p001_3LCache-OMR,phaseB,baseline,MetaKV-202401,0.001,-,0,3LCache-OMR
phaseB_bl_MetaKV-202401_0p001_3LCache-BMR,phaseB,baseline,MetaKV-202401,0.001,-,0,3LCache-BMR
phaseB_bl_MetaKV-202401_0p001_S3FIFO,phaseB,baseline,MetaKV-202401,0.001,-,0,S3FIFO
phaseB_bl_MetaKV-202401_0p001_LRU,phaseB,baseline,MetaKV-202401,0.001,-,0,LRU
phaseB_bl_MetaKV-202401_0p001_LFU,phaseB,baseline,MetaKV-202401,0.001,-,0,LFU
phaseB_rl_TencentPhoto-1_0p1_log1p_w0,phaseB,rl,TencentPhoto-1,0.1,log1p,0,LOH
phaseB_rl_TencentPhoto-1_0p1_reciprocal_w0,phaseB,rl,TencentPhoto-1,0.1,reciprocal,0,LOH
phaseB_bl_TencentPhoto-1_0p1_BeladySize,phaseB,baseline,TencentPhoto-1,0.1,-,0,BeladySize
phaseB_bl_TencentPhoto-1_0p1_Belady,phaseB,baseline,TencentPhoto-1,0.1,-,0,Belady
phaseB_bl_TencentPhoto-1_0p1_GDSF,phaseB,baseline,TencentPhoto-1,0.1,-,0,GDSF
phaseB_bl_TencentPhoto-1_0p1_3LCache-OMR,phaseB,baseline,TencentPhoto-1,0.1,-,0,3LCache-OMR
phaseB_bl_TencentPhoto-1_0p1_3LCache-BMR,phaseB,baseline,TencentPhoto-1,0.1,-,0,3LCache-BMR
phaseB_bl_TencentPhoto-1_0p1_S3FIFO,phaseB,baseline,TencentPhoto-1,0.1,-,0,S3FIFO
phaseB_bl_TencentPhoto-1_0p1_LRU,phaseB,baseline,TencentPhoto-1,0.1,-,0,LRU
phaseB_bl_TencentPhoto-1_0p1_LFU,phaseB,baseline,TencentPhoto-1,0.1,-,0,LFU
phaseB_rl_TencentPhoto-1_0p001_log1p_w0,phaseB,rl,TencentPhoto-1,0.001,log1p,0,LOH
phaseB_rl_TencentPhoto-1_0p001_reciprocal_w0,phaseB,rl,TencentPhoto-1,0.001,reciprocal,0,LOH
phaseB_bl_TencentPhoto-1_0p001_BeladySize,phaseB,baseline,TencentPhoto-1,0.001,-,0,BeladySize
phaseB_bl_TencentPhoto-1_0p001_Belady,phaseB,baseline,TencentPhoto-1,0.001,-,0,Belady
phaseB_bl_TencentPhoto-1_0p001_GDSF,phaseB,baseline,TencentPhoto-1,0.001,-,0,GDSF
phaseB_bl_TencentPhoto-1_0p001_3LCache-OMR,phaseB,baseline,TencentPhoto-1,0.001,-,0,3LCache-OMR
phaseB_bl_TencentPhoto-1_0p001_3LCache-BMR,phaseB,baseline,TencentPhoto-1,0.001,-,0,3LCache-BMR
phaseB_bl_TencentPhoto-1_0p001_S3FIFO,phaseB,baseline,TencentPhoto-1,0.001,-,0,S3FIFO
phaseB_bl_TencentPhoto-1_0p001_LRU,phaseB,baseline,TencentPhoto-1,0.001,-,0,LRU
phaseB_bl_TencentPhoto-1_0p001_LFU,phaseB,baseline,TencentPhoto-1,0.001,-,0,LFU
phaseB_rl_CloudPhysics-w01_0p1_log1p_w0,phaseB,rl,CloudPhysics-w01,0.1,log1p,0,LOH
phaseB_rl_CloudPhysics-w01_0p1_reciprocal_w0,phaseB,rl,CloudPhysics-w01,0.1,reciprocal,0,LOH
phaseB_bl_CloudPhysics-w01_0p1_BeladySize,phaseB,baseline,CloudPhysics-w01,0.1,-,0,BeladySize
phaseB_bl_CloudPhysics-w01_0p1_Belady,phaseB,baseline,CloudPhysics-w01,0.1,-,0,Belady
phaseB_bl_CloudPhysics-w01_0p1_GDSF,phaseB,baseline,CloudPhysics-w01,0.1,-,0,GDSF
phaseB_bl_CloudPhysics-w01_0p1_3LCache-OMR,phaseB,baseline,CloudPhysics-w01,0.1,-,0,3LCache-OMR
phaseB_bl_CloudPhysics-w01_0p1_3LCache-BMR,phaseB,baseline,CloudPhysics-w01,0.1,-,0,3LCache-BMR
phaseB_bl_CloudPhysics-w01_0p1_S3FIFO,phaseB,baseline,CloudPhysics-w01,0.1,-,0,S3FIFO
phaseB_bl_CloudPhysics-w01_0p1_LRU,phaseB,baseline,CloudPhysics-w01,0.1,-,0,LRU
phaseB_bl_CloudPhysics-w01_0p1_LFU,phaseB,baseline,CloudPhysics-w01,0.1,-,0,LFU
phaseB_rl_CloudPhysics-w01_0p001_log1p_w0,phaseB,rl,CloudPhysics-w01,0.001,log1p,0,LOH
phaseB_rl_CloudPhysics-w01_0p001_reciprocal_w0,phaseB,rl,CloudPhysics-w01,0.001,reciprocal,0,LOH
phaseB_bl_CloudPhysics-w01_0p001_BeladySize,phaseB,baseline,CloudPhysics-w01,0.001,-,0,BeladySize
phaseB_bl_CloudPhysics-w01_0p001_Belady,phaseB,baseline,CloudPhysics-w01,0.001,-,0,Belady
phaseB_bl_CloudPhysics-w01_0p001_GDSF,phaseB,baseline,CloudPhysics-w01,0.001,-,0,GDSF
phaseB_bl_CloudPhysics-w01_0p001_3LCache-OMR,phaseB,baseline,CloudPhysics-w01,0.001,-,0,3LCache-OMR
phaseB_bl_CloudPhysics-w01_0p001_3LCache-BMR,phaseB,baseline,CloudPhysics-w01,0.001,-,0,3LCache-BMR
phaseB_bl_CloudPhysics-w01_0p001_S3FIFO,phaseB,baseline,CloudPhysics-w01,0.001,-,0,S3FIFO
phaseB_bl_CloudPhysics-w01_0p001_LRU,phaseB,baseline,CloudPhysics-w01,0.001,-,0,LRU
phaseB_bl_CloudPhysics-w01_0p001_LFU,phaseB,baseline,CloudPhysics-w01,0.001,-,0,LFU
phaseB_rl_Twitter-13_0p1_log1p_w0,phaseB,rl,Twitter-13,0.1,log1p,0,LOH
phaseB_rl_Twitter-13_0p1_reciprocal_w0,phaseB,rl,Twitter-13,0.1,reciprocal,0,LOH
phaseB_bl_Twitter-13_0p1_BeladySize,phaseB,baseline,Twitter-13,0.1,-,0,BeladySize
phaseB_bl_Twitter-13_0p1_Belady,phaseB,baseline,Twitter-13,0.1,-,0,Belady
phaseB_bl_Twitter-13_0p1_GDSF,phaseB,baseline,Twitter-13,0.1,-,0,GDSF
phaseB_bl_Twitter-13_0p1_3LCache-OMR,phaseB,baseline,Twitter-13,0.1,-,0,3LCache-OMR
phaseB_bl_Twitter-13_0p1_3LCache-BMR,phaseB,baseline,Twitter-13,0.1,-,0,3LCache-BMR
phaseB_bl_Twitter-13_0p1_S3FIFO,phaseB,baseline,Twitter-13,0.1,-,0,S3FIFO
phaseB_bl_Twitter-13_0p1_LRU,phaseB,baseline,Twitter-13,0.1,-,0,LRU
phaseB_bl_Twitter-13_0p1_LFU,phaseB,baseline,Twitter-13,0.1,-,0,LFU
phaseB_rl_Twitter-13_0p001_log1p_w0,phaseB,rl,Twitter-13,0.001,log1p,0,LOH
phaseB_rl_Twitter-13_0p001_reciprocal_w0,phaseB,rl,Twitter-13,0.001,reciprocal,0,LOH
phaseB_bl_Twitter-13_0p001_BeladySize,phaseB,baseline,Twitter-13,0.001,-,0,BeladySize
phaseB_bl_Twitter-13_0p001_Belady,phaseB,baseline,Twitter-13,0.001,-,0,Belady
phaseB_bl_Twitter-13_0p001_GDSF,phaseB,baseline,Twitter-13,0.001,-,0,GDSF
phaseB_bl_Twitter-13_0p001_3LCache-OMR,phaseB,baseline,Twitter-13,0.001,-,0,3LCache-OMR
phaseB_bl_Twitter-13_0p001_3LCache-BMR,phaseB,baseline,Twitter-13,0.001,-,0,3LCache-BMR
phaseB_bl_Twitter-13_0p001_S3FIFO,phaseB,baseline,Twitter-13,0.001,-,0,S3FIFO
phaseB_bl_Twitter-13_0p001_LRU,phaseB,baseline,Twitter-13,0.001,-,0,LRU
phaseB_bl_Twitter-13_0p001_LFU,phaseB,baseline,Twitter-13,0.001,-,0,LFU
