trace,source,config,mr,bmr,mqps,log_path
wiki,sec23_unified_4x3,v4_fixed_norm,0.176335,0.141077,0.07,tmp/unified_variants_full_0315/wiki_v4_fixed_norm.log
meta,sec21_1_matrix,log1p_adaptive_norm,0.269082,0.156001,0.51,tmp/sec20_full_matrix_0314_4way/meta_log1p_adaptive_norm_retry1.log
meta,sec21_1_matrix,log1p_baseline,0.269086,0.155988,0.63,tmp/sec20_full_matrix_0314_4way/meta_log1p_baseline.log
meta,sec21_1_matrix,log1p_fixed_norm,0.269273,0.153586,0.28,tmp/sec20_full_matrix_0314_4way/meta_log1p_fixed_norm_retry2.log
meta,sec23_unified_4x3,v1_adaptive_norm,0.269085,0.156094,0.79,tmp/unified_variants_full_0315/meta_v1_adaptive_norm.log
meta,sec23_unified_4x3,v1_baseline,0.269079,0.155817,0.93,tmp/unified_variants_full_0315/meta_v1_baseline.log
meta,sec23_unified_4x3,v1_fixed_norm,0.269286,0.153529,0.40,tmp/unified_variants_full_0315/meta_v1_fixed_norm.log
meta,sec23_unified_4x3,v2_adaptive_norm,0.269083,0.156141,0.72,tmp/unified_variants_full_0315/meta_v2_adaptive_norm.log
meta,sec23_unified_4x3,v2_baseline,0.269080,0.156000,0.91,tmp/unified_variants_full_0315/meta_v2_baseline.log
meta,sec23_unified_4x3,v2_fixed_norm,0.269281,0.153506,0.38,tmp/unified_variants_full_0315/meta_v2_fixed_norm.log
meta,sec23_unified_4x3,v3_adaptive_norm,0.269080,0.155949,0.73,tmp/unified_variants_full_0315/meta_v3_adaptive_norm.log
meta,sec23_unified_4x3,v3_baseline,0.269081,0.156079,0.91,tmp/unified_variants_full_0315/meta_v3_baseline.log
meta,sec23_unified_4x3,v3_fixed_norm,0.269290,0.153691,0.39,tmp/unified_variants_full_0315/meta_v3_fixed_norm.log
meta,sec23_unified_4x3,v4_adaptive_norm,0.269950,0.156633,0.47,tmp/unified_variants_full_0315/meta_v4_adaptive_norm.log
meta,sec23_unified_4x3,v4_baseline,0.269084,0.156241,0.93,tmp/unified_variants_full_0315/meta_v4_baseline.log
meta,sec23_unified_4x3,v4_fixed_norm,0.269291,0.153702,0.39,tmp/unified_variants_full_0315/meta_v4_fixed_norm.log
